Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestDemo,Chrome 68.0.3440.106,,2018-09-11 16:22:38,2018-09-11 16:34:52,12m - 14.442s,PASSED
,,,,,,
Test Cases/Commission Login,Chrome 68.0.3440.106,,2018-09-11 16:22:39,2018-09-11 16:22:54,15.190s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-11 16:22:39,2018-09-11 16:22:39,0.073s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-11 16:22:39,2018-09-11 16:22:43,3.947s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-11 16:22:43,2018-09-11 16:22:44,1.370s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-11 16:22:44,2018-09-11 16:22:45,1.180s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:22:45,2018-09-11 16:22:46,0.300s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-11 16:22:46,2018-09-11 16:22:46,0.189s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:22:46,2018-09-11 16:22:46,0.174s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:22:46,2018-09-11 16:22:47,1.163s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:22:47,2018-09-11 16:22:48,0.372s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:22:48,2018-09-11 16:22:54,6.036s,PASSED
,,,,,,
Test Cases/Credit Rule exists in the system,Chrome 68.0.3440.106,To verify that Credit Rule(name of the Credit Rule) exists in the system,2018-09-11 16:22:54,2018-09-11 16:23:24,30.581s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-11 16:22:54,2018-09-11 16:22:54,0.003s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-11 16:22:54,2018-09-11 16:22:54,0.006s,NOT_RUN
delay,Chrome 68.0.3440.106,,2018-09-11 16:22:54,2018-09-11 16:22:59,5.047s,PASSED
mouseOver,Chrome 68.0.3440.106,,2018-09-11 16:22:59,2018-09-11 16:22:59,0.153s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:22:59,2018-09-11 16:23:02,3.007s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-11 16:23:02,2018-09-11 16:23:02,0.098s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:02,2018-09-11 16:23:06,4.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:06,2018-09-11 16:23:07,1.010s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:07,2018-09-11 16:23:08,0.306s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:08,2018-09-11 16:23:11,3.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:11,2018-09-11 16:23:11,0.212s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:11,2018-09-11 16:23:13,2.002s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-11 16:23:13,2018-09-11 16:23:13,0.085s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:13,2018-09-11 16:23:15,2.004s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:15,2018-09-11 16:23:15,0.123s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:15,2018-09-11 16:23:15,0.158s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:15,2018-09-11 16:23:17,2.004s,PASSED
scrollToElement,Chrome 68.0.3440.106,,2018-09-11 16:23:17,2018-09-11 16:23:17,0.073s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:17,2018-09-11 16:23:19,2.003s,PASSED
click,Chrome 68.0.3440.106,,2018-09-11 16:23:19,2018-09-11 16:23:20,0.115s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-11 16:23:20,2018-09-11 16:23:22,2.003s,PASSED
