Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testcode,Chrome 68.0.3440.106,,2018-09-10 15:42:50,2018-09-10 15:43:11,20.964s,FAILED
,,,,,,
Test Cases/Commission Login,Chrome 68.0.3440.106,,2018-09-10 15:42:50,2018-09-10 15:43:05,14.562s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-10 15:42:51,2018-09-10 15:42:51,0.035s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-10 15:42:51,2018-09-10 15:42:55,4.310s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-10 15:42:55,2018-09-10 15:42:57,1.198s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-10 15:42:57,2018-09-10 15:42:58,1.231s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 15:42:58,2018-09-10 15:42:58,0.392s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-10 15:42:58,2018-09-10 15:42:58,0.204s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:42:58,2018-09-10 15:42:59,0.122s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:42:59,2018-09-10 15:43:00,1.168s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:43:00,2018-09-10 15:43:00,0.266s,PASSED
click,Chrome 68.0.3440.106,,2018-09-10 15:43:00,2018-09-10 15:43:05,5.100s,PASSED
,,,,,,
Test Cases/Earning Codes exist in the system,Chrome 68.0.3440.106,,2018-09-10 15:43:05,2018-09-10 15:43:10,4.568s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 68.0.3440.106,,2018-09-10 15:43:05,2018-09-10 15:43:05,0.004s,PASSED
callTestCase,Chrome 68.0.3440.106,,2018-09-10 15:43:06,2018-09-10 15:43:10,4.004s,FAILED
