Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
pass and fail case for search,Chrome 69.0.3497.100,,2018-09-20 16:11:08,2018-09-20 16:15:01,3m - 53.325s,FAILED
,,,,,,
Test Cases/Credit Rule exists in the system - Testing - Correct String,Chrome 69.0.3497.100,To verify that Credit Rule(name of the Credit Rule) exists in the system,2018-09-20 16:11:08,2018-09-20 16:13:05,1m - 57.010s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-20 16:11:09,2018-09-20 16:11:09,0.052s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:11:09,2018-09-20 16:11:09,0.003s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:11:09,2018-09-20 16:11:09,0.003s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 16:11:09,2018-09-20 16:12:30,1m - 20.568s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:30,2018-09-20 16:12:35,5.003s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-09-20 16:12:35,2018-09-20 16:12:35,0.233s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:35,2018-09-20 16:12:38,3.002s,PASSED
"Statement - println(""User is able to naviagte to Plan tab"")",Chrome 69.0.3497.100,,2018-09-20 16:12:38,2018-09-20 16:12:38,0.006s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:12:38,2018-09-20 16:12:38,0.161s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:38,2018-09-20 16:12:42,4.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:42,2018-09-20 16:12:46,3.691s,PASSED
"Statement - println(""User Naviagted to Rules screen"")",Chrome 69.0.3497.100,,2018-09-20 16:12:46,2018-09-20 16:12:46,0.001s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:46,2018-09-20 16:12:46,0.226s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:46,2018-09-20 16:12:49,3.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:49,2018-09-20 16:12:49,0.289s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:49,2018-09-20 16:12:51,2.004s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:12:51,2018-09-20 16:12:51,0.066s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:51,2018-09-20 16:12:53,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:53,2018-09-20 16:12:54,0.940s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:54,2018-09-20 16:12:55,0.268s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:55,2018-09-20 16:12:57,2.005s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 16:12:57,2018-09-20 16:12:57,0.085s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:57,2018-09-20 16:12:59,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 16:12:59,2018-09-20 16:12:59,0.113s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:12:59,2018-09-20 16:13:01,2.002s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 16:13:01,2018-09-20 16:13:02,0.878s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 16:13:02,2018-09-20 16:13:04,2.003s,PASSED
