Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
search,Chrome 69.0.3497.100,,2018-09-20 15:45:10,2018-09-20 15:48:41,3m - 31.168s,PASSED
,,,,,,
Test Cases/Commission Login,Chrome 69.0.3497.100,,2018-09-20 15:45:11,2018-09-20 15:46:36,1m - 25.010s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-20 15:45:11,2018-09-20 15:45:11,0.033s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 15:45:12,2018-09-20 15:45:18,6.155s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 15:45:18,2018-09-20 15:45:33,15.427s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-09-20 15:45:33,2018-09-20 15:45:34,1.151s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 15:45:34,2018-09-20 15:45:35,0.344s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:45:35,2018-09-20 15:45:37,2.063s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 15:45:37,2018-09-20 15:45:37,0.305s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:45:37,2018-09-20 15:45:37,0.235s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:45:37,2018-09-20 15:45:45,7.375s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:45:45,2018-09-20 15:45:46,1.448s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:45:46,2018-09-20 15:46:36,49.913s,PASSED
,,,,,,
Test Cases/Credit Rule exists in the system - Testing,Chrome 69.0.3497.100,To verify that Credit Rule(name of the Credit Rule) exists in the system,2018-09-20 15:46:36,2018-09-20 15:48:40,2m - 3.939s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 69.0.3497.100,,2018-09-20 15:46:36,2018-09-20 15:46:36,0.007s,PASSED
callTestCase,Chrome 69.0.3497.100,,2018-09-20 15:46:37,2018-09-20 15:46:37,0.003s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 15:46:37,2018-09-20 15:46:37,0.002s,NOT_RUN
callTestCase,Chrome 69.0.3497.100,,2018-09-20 15:46:37,2018-09-20 15:48:01,1m - 24.030s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:01,2018-09-20 15:48:06,5.001s,PASSED
mouseOver,Chrome 69.0.3497.100,,2018-09-20 15:48:06,2018-09-20 15:48:06,0.266s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:06,2018-09-20 15:48:09,3.003s,PASSED
"Statement - println(""User is able to naviagte to Plan tab"")",Chrome 69.0.3497.100,,2018-09-20 15:48:09,2018-09-20 15:48:09,0.008s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 15:48:09,2018-09-20 15:48:09,0.122s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:09,2018-09-20 15:48:13,4.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:13,2018-09-20 15:48:19,5.648s,PASSED
"Statement - println(""User Naviagted to Rules screen"")",Chrome 69.0.3497.100,,2018-09-20 15:48:19,2018-09-20 15:48:19,0.001s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:19,2018-09-20 15:48:19,0.267s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:19,2018-09-20 15:48:22,3.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:22,2018-09-20 15:48:22,0.208s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:22,2018-09-20 15:48:24,2.002s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 15:48:24,2018-09-20 15:48:24,0.068s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:24,2018-09-20 15:48:26,2.003s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:26,2018-09-20 15:48:28,1.942s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:28,2018-09-20 15:48:29,0.208s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:29,2018-09-20 15:48:31,2.002s,PASSED
scrollToElement,Chrome 69.0.3497.100,,2018-09-20 15:48:31,2018-09-20 15:48:31,0.069s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:31,2018-09-20 15:48:33,2.001s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:33,2018-09-20 15:48:33,0.110s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:33,2018-09-20 15:48:35,2.005s,PASSED
setText,Chrome 69.0.3497.100,Records Not Found,2018-09-20 15:48:35,2018-09-20 15:48:36,1.247s,PASSED
delay,Chrome 69.0.3497.100,,2018-09-20 15:48:36,2018-09-20 15:48:38,2.002s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 15:48:38,2018-09-20 15:48:38,0.321s,PASSED
Statement - Try,Chrome 69.0.3497.100,,2018-09-20 15:48:38,2018-09-20 15:48:40,1.700s,PASSED
